case,replica,ensemble,time_fs,temperature_k,potential_energy_ev_per_atom,total_energy_ev_per_atom,max_force_ev_per_angstrom,nearest_neighbor_distance_angstrom,rms_displacement_angstrom
compressed_fcc,0,nve,100,89.6658477197,-3.3922021389,-3.38097412931,1.32489035597,2.54878896409,0.0866445192876
compressed_fcc,0,nve,105,81.8818065331,-3.39122724533,-3.38097395791,1.24280315842,2.54483955242,0.0886326080235
compressed_fcc,0,nve,110,87.1911540809,-3.39189243317,-3.38097430615,1.24554907533,2.54535913467,0.0880040398808
compressed_fcc,0,nve,115,100.574823161,-3.39356708527,-3.38097304743,1.35172870929,2.55119354175,0.0848271947963
compressed_fcc,0,nve,120,117.066557765,-3.39563369751,-3.38097455508,1.32309031005,2.55802064971,0.0793332464912
compressed_fcc,1,nvt,5,319.449876433,-3.38810586929,-3.34810417002,1.26090594388,2.54666546298,0
compressed_fcc,1,nvt,10,254.334350852,-3.38478016853,-3.35293227323,1.41381843272,2.53996759417,0.0246930560691
compressed_fcc,1,nvt,15,252.50787109,-3.38146877289,-3.34984959045,1.55796848631,2.53831843613,0.0472919524755
compressed_fcc,1,nvt,20,274.146831262,-3.38023996353,-3.34591113791,1.56213891107,2.54125522043,0.0679274400099
compressed_fcc,1,nvt,25,268.646237924,-3.38021564484,-3.34657560672,1.52772445009,2.53941926604,0.0861736629484
compressed_fcc,1,nvt,30,266.08965514,-3.380859375,-3.34753947366,1.61853502656,2.53518445955,0.102114810115
compressed_fcc,1,nvt,35,288.460958887,-3.38243961334,-3.34631836434,1.60697410551,2.53631660603,0.114813469342
compressed_fcc,1,nvt,40,326.701953141,-3.38271784782,-3.34180803929,1.55620891964,2.53559510082,0.125321380111
compressed_fcc,1,nvt,45,291.461249523,-3.38067746162,-3.34418051448,1.44944798919,2.53233344585,0.134958348181
compressed_fcc,1,nvt,50,244.269199096,-3.37737631798,-3.34678878683,1.49945908396,2.5237908919,0.14217016361
compressed_fcc,1,nvt,55,228.354892279,-3.37668609619,-3.3480913638,1.59615173223,2.52093720526,0.144503336844
